radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
343.957967,0.579,0.301596,0.484,17.539,0.207,1,18.19,0.27,1,NA,NA,0,17.917,0.176,4,16.876,0.236,4,16.38,0.193,1,NA,NA,0,NA,NA,0
343.958328,0.245,0.238402,0.197,14.577,0.048,3,15.418,0.044,3,NA,NA,0,14.986,0.022,4,14.341,0.051,4,14.166,0.039,3,NA,NA,0,NA,NA,0
343.960693,0.408,0.348726,0.502,NA,NA,0,NA,NA,0,NA,NA,0,17.619,0.117,3,16.584,0.134,3,NA,NA,0,NA,NA,0,NA,NA,0
343.960966,0.07,0.342731,0.112,12.613,0.041,4,13.541,0.019,4,NA,NA,0,13.041,0.011,4,12.326,0.045,4,12.118,0.063,3,11.845,0.04,1,NA,NA,0
343.98313,0.357,0.117564,0.311,NA,NA,0,NA,NA,0,NA,NA,0,18.384,0.231,1,17.287,0.184,1,NA,NA,0,NA,NA,0,NA,NA,0
343.984497,0.663,0.415757,0.461,17.368,0.081,2,17.989,0.128,2,NA,NA,0,17.668,0.154,4,16.91,0.201,4,16.603,0.219,1,NA,NA,0,NA,NA,0
343.989787,0.47,0.190956,0.398,16.456,0.07,4,17.422,0.192,4,NA,NA,0,17.104,0.079,4,15.998,0.07,4,15.718,0.105,3,NA,NA,0,NA,NA,0
343.993088,0.632,0.138049,0.411,16.657,0.129,4,17.213,0.227,4,NA,NA,0,16.921,0.149,4,16.42,0.09,4,16.293,0.164,1,NA,NA,0,NA,NA,0
343.993513,0.33,0.346169,0.188,17.18,0.142,1,18.026,0.243,1,NA,NA,0,17.883,0.039,2,16.476,0.166,2,15.647,0.1,1,NA,NA,0,NA,NA,0
343.997509,0.264,0.341168,0.215,16.259,0.177,3,17.443,0.135,3,NA,NA,0,16.835,0.021,4,15.505,0.063,4,14.987,0.113,3,NA,NA,0,NA,NA,0
343.999743,0.395,0.225778,0.497,16.29,0.088,4,17.073,0.086,4,NA,NA,0,16.679,0.09,4,16.004,0.152,4,16.052,0.131,3,NA,NA,0,NA,NA,0
344.001196,0.114,0.282328,0.029,NA,NA,0,NA,NA,0,NA,NA,0,17.963,0.146,1,17.433,0.216,1,NA,NA,0,NA,NA,0,NA,NA,0
344.001639,0.579,0.140652,0.296,16.638,0.114,4,17.398,0.111,4,NA,NA,0,17.18,0.094,4,16.593,0.104,4,16.152,0.164,3,NA,NA,0,NA,NA,0
344.00395,0.527,0.059866,0.453,16.37,0.035,3,17.356,0.04,3,NA,NA,0,16.88,0.026,3,15.986,0.051,3,15.628,0.031,2,NA,NA,0,NA,NA,0
344.004554,0.324,0.160279,0.268,16.913,0.171,3,17.448,0.035,3,NA,NA,0,17.269,0.065,4,16.656,0.051,4,16.161,0.044,2,NA,NA,0,NA,NA,0
344.007374,0.312,0.306104,0.303,16.437,0.147,4,17.254,0.144,4,NA,NA,0,16.887,0.091,4,16.176,0.022,4,16.191,0.227,3,NA,NA,0,NA,NA,0
344.009294,0.344,0.134085,0.297,15.016,0.044,4,15.707,0.059,4,NA,NA,0,15.334,0.054,4,14.837,0.049,4,14.715,0.028,3,NA,NA,0,NA,NA,0
344.011158,0.487,0.517392,0.611,16.657,0.054,3,17.609,0.306,3,NA,NA,0,17.065,0.092,4,16.021,0.082,4,15.662,0.127,3,NA,NA,0,NA,NA,0
344.01209,0.369,0.052535,0.274,16.418,0.062,3,17.573,0.241,3,NA,NA,0,16.992,0.068,3,15.882,0.019,3,15.461,0.056,2,NA,NA,0,NA,NA,0
344.012855,0.652,0.183521,0.402,16.073,0.06,4,16.7,0.115,4,NA,NA,0,16.342,0.038,4,15.872,0.057,4,15.894,0.146,3,NA,NA,0,NA,NA,0
344.012892,0.365,0.077709,0.313,16.807,0.009,3,17.474,0.141,3,NA,NA,0,17.194,0.116,4,16.617,0.155,4,16.333,0.174,1,NA,NA,0,NA,NA,0
344.016496,0.37,0.056488,0.306,16.919,0.007,2,17.73,0.311,2,NA,NA,0,17.255,0.026,3,16.545,0.072,3,16.129,0.15,1,NA,NA,0,NA,NA,0
344.017693,0.761,0.241685,0.302,NA,NA,0,NA,NA,0,NA,NA,0,18.197,0.031,2,17.208,0.026,2,16.547,0.214,1,NA,NA,0,NA,NA,0
344.019135,0.153,0.183559,0.265,17.591,0.211,1,18.002,0.27,1,NA,NA,0,17.716,0.033,2,17.155,0.041,2,16.567,0.222,1,NA,NA,0,NA,NA,0
344.019565,0.413,0.13611,0.427,17.233,0.16,1,17.859,0.247,1,NA,NA,0,17.782,0.007,2,16.807,0.018,2,16.37,0.194,1,NA,NA,0,NA,NA,0
344.021481,0.449,0.551156,0.26,17.166,0.149,1,17.787,0.184,1,NA,NA,0,17.461,0.133,3,16.793,0.087,3,NA,NA,0,NA,NA,0,NA,NA,0
344.022505,0.358,0.058955,0.443,16.737,0.088,3,17.381,0.156,3,NA,NA,0,17.015,0.117,3,16.64,0.134,3,16.265,0.161,1,NA,NA,0,NA,NA,0
344.023709,0.835,0.5541,0.51,16.725,0.103,1,17.825,0.187,1,NA,NA,0,17.244,0.168,4,16.448,0.134,4,16.326,0.04,2,NA,NA,0,NA,NA,0
344.031065,0.429,0.113596,0.371,15.1,0.043,4,16.135,0.032,4,NA,NA,0,15.638,0.025,4,14.67,0.041,4,14.345,0.106,3,NA,NA,0,NA,NA,0
344.031642,0.351,0.188877,0.229,16.193,0.042,4,17.047,0.074,4,NA,NA,0,16.576,0.08,4,15.845,0.069,4,15.755,0.092,3,NA,NA,0,NA,NA,0
344.032707,0.334,0.363774,0.212,17.632,0.212,1,18.115,0.258,1,NA,NA,0,17.936,0.033,2,17.007,0.144,2,NA,NA,0,NA,NA,0,NA,NA,0
344.033491,0.154,0.451547,0.099,12.855,0.034,4,14.085,0.02,4,NA,NA,0,13.479,0.015,4,12.343,0.058,4,11.912,0.087,3,11.553,0.032,1,NA,NA,0
344.034776,0.766,0.484282,0.464,17.189,0.15,1,18.268,0.296,1,NA,NA,0,17.81,0.107,4,16.941,0.039,4,16.66,0.229,1,NA,NA,0,NA,NA,0
344.035664,0.429,0.222342,0.6,NA,NA,0,NA,NA,0,NA,NA,0,17.953,0.083,3,17.2,0.141,3,NA,NA,0,NA,NA,0,NA,NA,0
344.036686,0.794,0.054694,0.404,15.777,0.028,3,16.72,0.033,3,NA,NA,0,16.245,0.069,3,15.583,0.03,3,15.345,0.052,2,NA,NA,0,NA,NA,0
344.040381,0.459,-0.00069,0.374,16.933,0.019,3,17.629,0.277,3,NA,NA,0,17.3,0.059,3,16.851,0.135,3,16.398,0.177,1,NA,NA,0,NA,NA,0
344.04072,0.308,0.208298,0.416,NA,NA,0,NA,NA,0,NA,NA,0,17.854,0.156,3,16.697,0.069,3,16.134,0.15,1,NA,NA,0,NA,NA,0
344.041463,0.163,0.109707,0.255,13.846,0.058,4,14.746,0.02,4,NA,NA,0,14.296,0.021,4,13.55,0.044,4,13.312,0.061,3,12.902,0.102,1,NA,NA,0
344.045478,0.412,0.5507,0.322,16.692,0.083,3,17.448,0.112,3,NA,NA,0,17.083,0.066,4,16.397,0.164,4,16.14,0.171,3,NA,NA,0,NA,NA,0
344.047494,0.433,0.103758,0.263,16.109,0.058,3,16.97,0.071,3,NA,NA,0,16.517,0.038,4,15.883,0.108,4,15.583,0.122,3,NA,NA,0,NA,NA,0
344.048566,0.415,0.139354,0.394,17.045,0.052,2,17.738,0.042,2,NA,NA,0,17.485,0.037,4,16.761,0.08,4,16.385,0.043,2,NA,NA,0,NA,NA,0
344.052333,0.132,0.511787,0.103,13.324,0.025,4,14.259,0.028,4,NA,NA,0,13.777,0.019,4,12.998,0.064,4,12.766,0.075,3,12.448,0.067,1,NA,NA,0
344.05326,0.308,0.313816,0.508,16.81,0.115,1,18.158,0.269,1,NA,NA,0,17.608,0.152,4,16.356,0.059,4,15.87,0.118,3,NA,NA,0,NA,NA,0
344.055482,0.179,0.372901,0.104,NA,NA,0,NA,NA,0,NA,NA,0,18.358,0.121,2,17.442,0.144,2,NA,NA,0,NA,NA,0,NA,NA,0
344.056632,0.123,0.32176,0.069,12.355,0.043,4,13.009,0.015,4,NA,NA,0,12.67,0.019,4,12.179,0.046,4,12.088,0.061,3,11.952,0.041,1,NA,NA,0
344.059722,0.238,0.428189,0.278,16.255,0.076,4,17.305,0.133,4,NA,NA,0,16.841,0.061,4,16.086,0.057,4,15.675,0.141,3,NA,NA,0,NA,NA,0
344.062733,0.36,0.588604,0.912,17.597,0.204,1,18.029,0.223,1,NA,NA,0,17.646,0.005,2,17.064,0.139,2,NA,NA,0,NA,NA,0,NA,NA,0
344.063972,0.179,0.434122,0.265,NA,NA,0,NA,NA,0,NA,NA,0,18.183,0.16,1,16.604,0.104,1,NA,NA,0,NA,NA,0,NA,NA,0
344.06565,0.434,0.316521,0.402,16.687,0.103,3,17.391,0.096,3,NA,NA,0,17.072,0.101,4,16.443,0.08,4,16.162,0.077,2,NA,NA,0,NA,NA,0
344.066308,0.251,0.067064,0.485,15.584,0.038,3,16.74,0.079,3,NA,NA,0,16.23,0.071,3,15.106,0.09,3,14.771,0.024,2,NA,NA,0,NA,NA,0
344.071137,0.335,-0.016947,0.385,16.823,0.053,3,17.454,0.177,3,NA,NA,0,17.191,0.062,3,16.656,0.163,3,16.259,0.053,2,NA,NA,0,NA,NA,0
344.072237,0.334,0.071221,0.342,14.081,0.013,3,14.861,0.027,3,NA,NA,0,14.452,0.046,3,13.859,0.045,3,13.69,0.001,2,13.729,0.203,1,NA,NA,0
344.075507,0.393,0.22666,0.197,13.753,0.135,5,14.466,0.029,5,NA,NA,0,14.136,0.031,5,13.54,0.178,5,13.383,0.206,4,13.369,0.142,1,NA,NA,0
344.084681,0.695,0.232647,0.275,15.937,0.115,5,16.538,0.063,5,NA,NA,0,16.353,0.092,5,15.718,0.156,5,15.4,0.322,4,NA,NA,0,NA,NA,0
344.085559,0.399,0.487039,0.58,NA,NA,0,NA,NA,0,NA,NA,0,17.949,0.2,4,16.814,0.03,3,16.233,0.138,3,NA,NA,0,NA,NA,0
344.085642,0.292,0.549888,0.279,16.403,0.175,3,17.809,0.141,3,NA,NA,0,17.267,0.104,5,15.755,0.181,5,15.017,0.227,4,NA,NA,0,NA,NA,0
344.088499,0.435,0.495635,0.619,NA,NA,0,NA,NA,0,NA,NA,0,17.74,0.187,4,16.556,0.168,4,16.077,0.278,3,NA,NA,0,NA,NA,0
344.089009,0.558,0.570647,0.367,17.047,0.191,2,18.191,0.165,2,NA,NA,0,17.824,0.096,5,16.444,0.156,5,15.453,0.205,4,NA,NA,0,NA,NA,0
344.092011,0.87,0.141683,0.523,NA,NA,0,NA,NA,0,NA,NA,0,17.933,0.11,4,16.451,0.197,4,15.414,0.237,3,NA,NA,0,NA,NA,0
344.094307,0.866,0.30954,0.46,17.544,0.214,1,18.312,0.353,1,NA,NA,0,18.231,0.044,4,16.532,0.243,4,15.445,0.469,3,NA,NA,0,NA,NA,0
344.097446,0.382,0.088488,0.483,16.889,0.186,3,17.935,0.222,3,NA,NA,0,17.72,0.088,4,16.974,0.062,4,15.944,0.251,1,NA,NA,0,NA,NA,0
344.09837,0.513,-0.052518,0.33,12.995,0.156,6,13.692,0.045,6,NA,NA,0,13.321,0.041,5,12.844,0.266,5,12.699,0.252,5,12.773,0.086,1,NA,NA,0
344.098576,1.074,0.258143,0.786,NA,NA,0,NA,NA,0,NA,NA,0,18.176,0.307,3,17.115,0.339,3,16.175,0.156,1,NA,NA,0,NA,NA,0
344.102207,0.42,0.021163,0.326,12.287,0.15,5,13.448,0.021,5,NA,NA,0,12.865,0.03,5,11.922,0.24,5,11.574,0.238,4,11.462,0.029,1,NA,NA,0
344.105105,0.705,0.662508,0.448,NA,NA,0,NA,NA,0,NA,NA,0,18.089,0.12,3,16.987,0.078,2,16.389,0.272,1,NA,NA,0,NA,NA,0
344.10542,0.148,0.394209,0.16,NA,NA,0,NA,NA,0,NA,NA,0,18.143,0.173,1,17.326,0.198,1,NA,NA,0,NA,NA,0,NA,NA,0
344.106354,0.239,0.653209,0.139,14.33,0.094,5,15.214,0.044,5,NA,NA,0,14.776,0.031,5,14.056,0.151,5,13.829,0.221,4,NA,NA,0,NA,NA,0
344.108053,0.633,0.52843,0.497,16.711,0.126,3,17.757,0.275,3,NA,NA,0,17.393,0.066,5,16.442,0.191,5,15.999,0.259,4,NA,NA,0,NA,NA,0
