#Table1
specObjID,objID,run,rerun,camcol,field,mjd,plate,fiberID,ra,dec,dered_u,dered_g,dered_i,z,zErr,zWarning
299499023293769728,1237650795683446969,1239,301,3,177,51630,266,35,146.9201,-0.30646208,19.41834,18.03791,16.70166,0.1314801,4.511572E-05,0
299497648904235008,1237650795683578073,1239,301,3,179,51630,266,30,147.22569,-0.29262062,19.81996,17.77275,16.47925,0.1336352,3.373426E-05,0
299544927904229376,1237650794609180882,1239,301,1,169,51630,266,202,145.68613,-1.2440377,20.26422,18.18134,16.60664,0.1480799,3.361118E-05,0
299545202782136320,1237655178159915217,2259,301,6,165,51630,266,203,145.63394,-1.0506031,19.68568,17.99028,16.53136,0.1432976,2.793381E-05,0
299545477660043264,1237650795146051757,1239,301,2,169,51630,266,204,145.67849,-0.79140064,20.85218,18.71256,17.16377,0.1491852,3.635235E-05,0
299546027415857152,1237648720141943050,756,301,1,199,51630,266,206,145.61886,-0.97268613,19.31487,17.90433,16.75539,0.1527078,1.652218E-05,0
299546852049577984,1237650794609180823,1239,301,1,169,51630,266,209,145.59655,-1.2053233,19.38139,19.02659,18.46922,0.1473114,7.037325E-06,0
299548226439112704,1237650795146051731,1239,301,2,169,51630,266,214,145.64525,-0.81551887,20.30025,18.39823,16.89902,0.14551,3.291969E-05,0
299549600828647424,1237648720678879482,756,301,2,200,51630,266,219,145.78109,-0.60534054,19.7645,17.93101,16.5357,0.1425823,3.286961E-05,0
299550700340275200,1237648721215684769,756,301,3,199,51630,266,223,145.6012,-0.001388682,19.14202,17.68146,16.53485,0.1458226,2.335707E-05,0
299550975218182144,1237648721215750163,756,301,3,200,51630,266,224,145.73722,-0.061008544,19.85526,17.95451,16.45425,0.1439173,2.306501E-05,0
299551524973996032,1237650796219793563,1239,301,4,169,51630,266,226,145.66949,0.11167288,20.03876,18.35372,16.92629,0.1247047,2.945301E-05,0
299554273753065472,1237648720678879348,756,301,2,200,51630,266,236,145.72206,-0.52713707,20.61212,18.65502,17.06188,0.1640542,2.82254E-05,0
299554548630972416,1237648721215750320,756,301,3,200,51630,266,237,145.77842,-0.13455067,20.68524,18.58779,17.01834,0.1451567,3.150894E-05,0
299555098386786304,1237648704023757044,752,301,3,15,51630,266,239,145.80121,-0.21112851,20.56326,18.68606,17.0813,0.1448559,2.4941E-05,0
299555648142600192,1237650795145920759,1239,301,2,167,51630,266,241,145.3983,-0.67092618,20.35222,18.35089,16.87228,0.1468171,3.056524E-05,0
299556472776321024,1237648720141877472,756,301,1,198,51630,266,244,145.50248,-0.9666317,19.95341,17.90552,16.40565,0.1477088,2.776945E-05,0
299556747654227968,1237650795145920732,1239,301,2,167,51630,266,245,145.38815,-0.69227045,20.0465,18.3467,16.80194,0.1467894,4.208303E-05,0
299557022532134912,1237648720141877432,756,301,1,198,51630,266,246,145.46323,-0.84422273,20.41094,18.59332,17.19592,0.1464075,3.239199E-05,0
299616671037941760,1237648721752686780,756,301,4,201,51630,266,463,145.99917,0.35244454,19.82148,18.17493,16.76817,0.1436527,1.275432E-05,0
299618045427476480,1237648721752752242,756,301,4,202,51630,266,468,146.06202,0.30231485,20.00919,18.46565,17.06707,0.1222152,1.89308E-05,0
299618320305383424,1237650796756795423,1239,301,5,171,51630,266,469,145.93673,0.49889122,20.92044,18.94602,17.31782,0.12362,3.097464E-05,0
299618595183290368,1237648722289557665,756,301,5,201,51630,266,470,145.93774,0.67207956,20.30342,18.52703,16.98574,0.1434542,4.371216E-05,0
299619144939104256,1237650796219924667,1239,301,4,171,51630,266,472,146.00604,0.14544788,19.72587,17.65247,16.08071,0.1271269,2.849887E-05,0
299619419817011200,1237648721752686598,756,301,4,201,51630,266,473,145.90721,0.40090482,19.94182,18.37543,16.91011,0.1441793,1.514151E-05,0
299619969572825088,1237650796219924616,1239,301,4,171,51630,266,475,145.93972,0.11688777,18.84658,17.73104,16.75157,0.1454365,7.628642E-06,0
299620519328638976,1237650796219924631,1239,301,4,171,51630,266,477,145.95625,0.19937236,18.97712,17.43538,16.05326,0.1445547,2.81341E-05,0
299621343962359808,1237648721752686769,756,301,4,201,51630,266,480,145.97847,0.29494694,19.21821,17.49336,16.11662,0.1256616,2.628337E-05,0
299621618840266752,1237650796756926591,1239,301,5,173,51630,266,481,146.27502,0.58101816,18.76401,16.6155,15.0511,0.1207871,3.090218E-05,0
299621893718173696,1237648722289688840,756,301,5,203,51630,266,482,146.21636,0.65945184,19.10676,17.88112,16.50054,0.1936545,3.889416E-05,0
299622993229801472,1237650796756861130,1239,301,5,172,51630,266,486,146.15186,0.61346142,20.14718,17.86574,16.30496,0.1413422,3.449905E-05,0
299624092741429248,1237648722289623275,756,301,5,202,51630,266,490,146.06942,0.69821674,20.36547,18.53122,16.92944,0.1444119,3.757672E-05,0
299624917375150080,1237648721752752292,756,301,4,202,51630,266,493,146.14242,0.30903218,19.47624,17.70259,16.24615,0.1288268,2.953238E-05,0
299625742008870912,1237650796756861201,1239,301,5,172,51630,266,496,146.17224,0.57064832,19.38651,18.25103,17.2442,0.1443569,9.337507E-06,0
299626291764684800,1237650796219990244,1239,301,4,172,51630,266,498,146.14448,0.12700616,19.36849,18.02934,16.98615,0.1259206,9.557034E-06,0
299626841520498688,1237650796756861140,1239,301,5,172,51630,266,500,146.1566,0.56959059,20.80427,18.59765,16.8987,0.144225,2.991073E-05,0
299627391276312576,1237648721752883455,756,301,4,204,51630,266,502,146.42944,0.24000639,19.54578,18.45428,17.14128,0.1907701,3.118756E-05,0
299627666154219520,1237650796756926716,1239,301,5,173,51630,266,503,146.32035,0.57342009,19.66332,18.6123,17.11096,0.14669,2.3699E-05,0
299628765665847296,1237648722289754220,756,301,5,204,51630,266,507,146.33806,0.72218147,20.07298,18.62975,16.98497,0.1467964,3.93617E-05,0
299629590299568128,1237648722289688871,756,301,5,203,51630,266,510,146.29875,0.65613355,19.86952,18.67066,17.30936,0.1206606,3.496519E-05,0
300637842093139968,1237648720143057157,756,301,1,216,51608,267,82,148.21563,-0.87471248,19.41359,18.23408,17.28953,0.107117,1.667548E-05,0
300638116971046912,1237651799622746245,1473,301,1,35,51608,267,83,148.31755,-1.0505461,20.48531,18.51558,17.00959,0.1393791,2.908613E-05,0
300638941604767744,1237648720143122623,756,301,1,217,51608,267,86,148.39456,-0.88771162,19.78101,17.7953,16.25336,0.13728,2.226324E-05,0
300639766238488576,1237648720143122589,756,301,1,217,51608,267,89,148.35353,-0.90500968,19.69519,18.38799,17.22512,0.1375007,1.197946E-05,0
300640315994302464,1237650795147165879,1239,301,2,186,51608,267,91,148.22293,-0.73857738,20.8603,18.66972,17.20248,0.1362843,3.801657E-05,0
300640590872209408,1237648720143122591,756,301,1,217,51608,267,92,148.36573,-1.0232385,19.24325,18.56452,17.78464,0.1467323,1.184749E-05,0
300641140628023296,1237650795147165934,1239,301,2,186,51608,267,94,148.24882,-0.80775746,19.65967,17.57297,16.27255,0.1071979,3.42926E-05,0
300642789895464960,1237648720143057118,756,301,1,216,51608,267,100,148.23213,-0.86359612,20.47866,18.69367,17.22084,0.1460121,3.314252E-05,0
300644164284999680,1237651800696750245,1473,301,3,39,51608,267,105,148.87361,-0.29058415,19.17362,17.74867,16.66364,0.1354369,1.0559E-05,0
300646638186162176,1237648720680255541,756,301,2,221,51608,267,114,148.84821,-0.5873222,19.97188,18.14116,16.67509,0.137758,3.211054E-05,0
300648012575696896,1237648721217126706,756,301,3,221,51608,267,119,148.95481,-0.0020917873,19.29298,18.13373,17.1254,0.1248562,9.581199E-06,0
300649112087324672,1237650794610163873,1239,301,1,184,51608,267,123,147.94455,-1.22337,19.39967,17.79295,16.45516,0.1219072,2.487063E-05,0
299496274514700288,1237650795683512507,1239,301,3,178,51630,266,25,146.95607,-0.34230044,20.3314,18.40925,16.75752,0.1346802,3.115196E-05,0
299533108154230784,1237650796220121127,1239,301,4,174,51630,266,159,146.39968,0.032246051,20.73493,18.66489,17.10154,0.1284871,4.481595E-05,0
299537506200741888,1237650796219924680,1239,301,4,171,51630,266,175,146.02339,0.021997188,20.79529,18.51379,16.8249,0.1255432,2.587638E-05,0
299537781078648832,1237650796219924743,1239,301,4,171,51630,266,176,145.97523,0.10664574,20.55858,18.67551,17.20826,0.1254106,4.468287E-05,0
299538330834462720,1237648721215881355,756,301,3,202,51630,266,178,146.06648,-0.00089458762,20.43529,18.53505,17.05132,0.1240625,3.856888E-05,0
299538605712369664,1237650795683053764,1239,301,3,171,51630,266,179,145.98758,-0.34255457,20.17252,18.49099,17.15189,0.1261984,1.101318E-05,0
299539705223997440,1237650796219859138,1239,301,4,170,51630,266,183,145.82519,0.043159343,19.8716,18.02017,16.51906,0.1451134,2.903229E-05,0
299539980101904384,1237648721215815722,756,301,3,201,51630,266,184,145.8765,-0.010999021,19.46586,17.46734,15.90556,0.1270235,2.471649E-05,0
299541904247252992,1237650796219924629,1239,301,4,171,51630,266,191,145.95019,0.072020428,20.28513,18.40088,16.95413,0.1258195,3.392655E-05,0
299542179125159936,1237650796219859194,1239,301,4,170,51630,266,192,145.86533,0.089624319,20.04325,18.16537,16.68933,0.1277906,3.521005E-05,0
299542454003066880,1237650796219859159,1239,301,4,170,51630,266,193,145.83689,0.0028933788,19.68331,18.01794,16.59651,0.1294907,2.557954E-05,0
299543003758880768,1237650796219859165,1239,301,4,170,51630,266,195,145.84425,0.030685407,19.23988,17.98792,16.89216,0.1554309,1.550419E-05,0
299543278636787712,1237650796219859039,1239,301,4,170,51630,266,196,145.86564,0.05618939,20.57515,18.37534,16.81795,0.1277459,2.578315E-05,0
299602102508873728,1237651752921661696,1462,301,2,137,51630,266,410,145.88615,1.1964676,19.87114,18.29004,16.99228,0.1633623,1.726089E-05,0
299602377386780672,1237648722289623245,756,301,5,202,51630,266,411,146.01513,0.8235057,19.2444,17.66874,16.42045,0.1232092,1.659297E-05,0
299603476898408448,1237648722289623112,756,301,5,202,51630,266,415,146.04623,0.76611923,19.6777,18.0235,16.72857,0.1224141,3.763796E-05,0
299603751776315392,1237650797293600959,1239,301,6,170,51630,266,416,145.87525,0.91247639,19.76268,17.67418,16.13514,0.124454,2.934006E-05,0
299604026654222336,1237650797293731872,1239,301,6,172,51630,266,417,146.08224,1.0348001,19.23257,17.27736,15.84185,0.1198547,2.041525E-05,0
299604301532129280,1237651752384790621,1462,301,1,137,51630,266,418,145.87188,0.87375974,19.83028,18.16638,16.70072,0.1515293,3.170106E-05,0
299605950799570944,1237650796756664572,1239,301,5,169,51630,266,424,145.70654,0.45938881,20.56752,18.82668,17.17235,0.1671185,4.897651E-05,0
299606500555384832,1237650796756664712,1239,301,5,169,51630,266,426,145.64564,0.50959376,19.38165,18.43186,17.44069,0.1561039,2.420002E-05,0
299606775433291776,1237650796756664521,1239,301,5,169,51630,266,427,145.73267,0.53403606,20.35641,18.68623,17.08589,0.1642566,4.091976E-05,0
299607050311198720,1237650796756730081,1239,301,5,170,51630,266,428,145.79259,0.52472729,19.08787,18.16653,17.0304,0.1222728,1.247384E-05,0
299608149822826496,1237650796756664459,1239,301,5,169,51630,266,432,145.6519,0.46908714,19.77657,18.30871,17.12722,0.1224014,1.362679E-05,0
299609524212361216,1237650796756664534,1239,301,5,169,51630,266,437,145.74324,0.46346691,20.48461,18.54308,17.16729,0.1207068,3.379213E-05,0
299610073968175104,1237650796219859103,1239,301,4,170,51630,266,439,145.76582,0.13534552,19.89836,18.42768,17.11466,0.123279,1.453566E-05,0
